dataset_id,dataset_version,label_space_id,processed_label_id,native_label_id,official_or_package_label_name,canonical_code,task_type,action,body_segment,laterality,granularity,provenance_status,notes
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,0,1,LP,LP,same-dataset gesture codebook,LP,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,1,2,TA,TA,same-dataset gesture codebook,TA,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,2,3,TLFO,TLFO,same-dataset gesture codebook,TLFO,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,3,4,TIFO,TIFO,same-dataset gesture codebook,TIFO,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,4,5,TLFE,TLFE,same-dataset gesture codebook,TLFE,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,5,6,TIFE,TIFE,same-dataset gesture codebook,TIFE,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,6,7,IMFE,IMFE,same-dataset gesture codebook,IMFE,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,7,8,LFE,LFE,same-dataset gesture codebook,LFE,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,8,9,IFE,IFE,same-dataset gesture codebook,IFE,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,9,10,TE,TE,same-dataset gesture codebook,TE,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,10,11,WF_or_WE_package_code_11,WF_or_WE_package_code_11,same-dataset gesture codebook,WF_or_WE_package_code_11,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,11,12,WE_or_WF_package_code_12,WE_or_WF_package_code_12,same-dataset gesture codebook,WE_or_WF_package_code_12,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,12,13,FS,FS,same-dataset gesture codebook,FS,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,13,14,FP,FP,same-dataset gesture codebook,FP,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,14,15,HO,HO,same-dataset gesture codebook,HO,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,15,16,HC,HC,same-dataset gesture codebook,HC,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_grabmyo,1.0.2,grabmyo_processed_0_based,16,17,REST,REST,same-dataset gesture codebook,REST,forearm/wrist-hand,dataset-defined,dataset-specific gesture,package-codebook; cross-dataset semantic adjudication not claimed,Accepted only for same-dataset identity mapping. WF/WE order should be verified from provider metadata before any cross-dataset semantic mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,0,1,UNKNOWN_1,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,1,2,UNKNOWN_2,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,2,3,UNKNOWN_3,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,3,4,UNKNOWN_4,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,4,5,UNKNOWN_5,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,5,6,UNKNOWN_6,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,6,7,UNKNOWN_7,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,7,8,UNKNOWN_8,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,8,9,UNKNOWN_9,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,9,10,UNKNOWN_10,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,10,11,UNKNOWN_11,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,11,12,UNKNOWN_12,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,12,13,UNKNOWN_13,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,13,14,UNKNOWN_14,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
physionet_hyser,1.0.0,hyser_processed_0_based,14,15,UNKNOWN_15,,same-dataset manipulation codebook,unresolved,HD-sEMG hand/forearm source,dataset-defined,dataset-specific manipulation,unresolved semantic label in frozen package,Accepted only as same-dataset identity code; rejected for cross-dataset supervised mapping.
