manuscript_claim,primary_source_file,supporting_source_file,metric_or_check,split_or_unit,decision_boundary
Training mixture and package/source counts,source_data/canonical_release_tables/dataset_mixture.csv,figures_compiled/fig01_training_domain_mixture.pdf,packaged records by source domain,packaged record counts not full dataset sizes,Four-domain feature-bank evidence plus limited six-label mixture diagnostics
Label-agnostic unwhitened CKA increased,source_data/canonical_release_tables/transfer_label_agnostic.csv,source_data/alignment_pair_sensitivity/alignment_unordered_pair_sensitivity.csv,off-diagonal CKA delta over unordered pairs,six unordered four-domain pairs plus direction-labeled diagnostic rows,Bounded pass only for small unwhitened geometry shift
Whitened CKA did not improve,source_data/canonical_release_tables/transfer_label_agnostic.csv,source_data/alignment_pair_sensitivity/alignment_unordered_pair_sensitivity.csv,off-diagonal whitened CKA delta,six unordered four-domain pairs plus direction-labeled diagnostic rows,Fail for whitening-invariant alignment
Canonical adversarial dataset-ID readout was below chance,source_data/canonical_release_tables/dataset_invariance.csv,source_data/canonical_release_tables/invariance_curve.csv,logged mini-batch dataset-ID accuracy,training-readout summaries only,Failed calibration diagnostic not invariance evidence
Six-packaged-domain fixed probe recovered package/source identity,source_data/six_domain_package_domain_fixed_probe_20260521/summary_by_encoder.csv,source_data/six_domain_package_domain_fixed_probe_20260521/support_summary.csv,balanced accuracy and per-domain recall,5 encoders x 10 probe seeds with grouped splits,Reject calibrated invariance for probed embeddings
Hyser-GRABMyo supervised transfer was blocked,source_data/ontology_controls/ontology_gate_decisions.csv,source_data/ontology_controls/ontology_mapping_candidates.csv,n accepted shared control-intent classes,predeclared fail-closed ontology gate,Not evaluable rather than zero transfer accuracy
Same-subject frequency comparator did not rescue pretrained advantage,source_data/canonical_baselines/same_subject_frequency_comparisons.csv,source_data/canonical_baselines/same_subject_frequency_summary_by_model.csv,normalized log-AULC balanced accuracy,same-subject cross-session units,No pretrained-feature superiority claim
Held-out-subject classical baseline provided positive control,source_data/canonical_baselines/heldout_subject_classical_signal_positive_control.csv,source_data/canonical_baselines/heldout_subject_classical_signal_unit_aulc.csv,normalized log-AULC balanced accuracy,63 held-out subjects across GRABMyo and Hyser,Benchmark can detect useful classical signal but pretrained gate failed
Five-encoder downstream confirmation was mixed/null,source_data/journal_confirmatory_audit_20260513/combined_downstream_paired_differences.csv,source_data/journal_confirmatory_audit_20260513/combined_downstream_summary_by_model.csv,paired balanced-accuracy deltas,5 encoders over GRABMyo and Hyser screens,No calibration-efficiency claim
Absolute downstream curves,source_data/canonical_baselines/downstream_absolute_accuracy_curves.csv,figures_compiled/figS05_downstream_absolute_accuracy_curves.pdf,absolute balanced accuracy by calibration count,same-subject and held-out-subject offline ridge-readout screens,Absolute levels do not show pretrained-feature superiority
Scaling-grid summary was descriptive,source_data/canonical_release_tables/scaling_points_updated.csv,source_data/canonical_release_tables/scaling_fits_updated.csv,frozen-grid proxy error versus tokens/parameters,small frozen run grid,Not a scaling law
Objective ablation was descriptive,source_data/canonical_release_tables/ssl_ablation.csv,figures_compiled/fig04_objective_ablation.pdf,frozen-grid proxy error by objective component,available ledger runs only,Not causal objective superiority
Artifact integrity checks passed except near-chance domain-ID target,source_data/audit_checks/06_audit_checks.csv,source_data/canonical_release_tables/universal_audit.csv,subject-overlap feature-sentinel recomputation and package checks,frozen package audit tables,Supports reproducibility not deployment readiness
